decimal_id	semantic_id	title	legacy_ref	p_i	import_rank	page_budget	importance_tier	part	origin
4.5.8	identity-set-2	`identity_type` as a set — single-key role cohabitation (CEG 0.9 addition; per CIRISRegistry#49 + CIRISAgent#856)	§11.9	0.00118	189	0.14	deep nested	IV	ceg
4.5.8.1	cohabitation	Cohabitation discipline for constitutional + substrate roles	§11.9.3	0.00101	217	0.12	deep nested	IV	ceg
4.5.8.2	amendment-what	What the amendment changes — and what it deliberately does not	§11.9.1	0.00092	254	0.11	deep nested	IV	ceg
4.5.8.3	settled	Settled in CIRISAgent#856, carried as-is	§11.9.2	0.00092	255	0.11	deep nested	IV	ceg
4.5.8.4	documents-what-6	What CEG 0.9 documents	§11.9.4	0.00092	256	0.11	deep nested	IV	ceg
4.5.9	registry-geographic	Geographic-community privacy invariant (CEG 0.8 addition; per CIRISRegistry#48)	§11.8	0.00111	201	0.13	deep nested	IV	ceg
4.5.9.1	location-joining	Joining is opt-in — substrate does NOT solicit location	§11.8.3	0.00194	122	0.23	Subsection	IV	ceg
4.5.9.2	rough-only	Rough-only is wire-format-enforced	§11.8.1	0.00111	199	0.13	deep nested	IV	ceg
4.5.9.3	leaving	Leaving is forward-only — the audit chain preserves the historical claim	§11.8.2	0.00092	252	0.11	deep nested	IV	ceg
4.5.9.4	documents-what-5	What CEG 0.8 documents	§11.8.4	0.00092	253	0.11	deep nested	IV	ceg
4.5.10	registry-hash	Hash-database operator policy (CEG 0.3 addition; per CIRISRegistry#39)	§11.5	0.00100	220	0.12	deep nested	IV	ceg
4.5.10.1	hash-database	Hash-database access landscape	§11.5.1	0.00103	214	0.12	deep nested	IV	ceg
4.5.10.2	registry-operator	Operator path (CEG 0.3 default — option (a) per CIRISRegistry#39)	§11.5.2	0.00092	244	0.11	deep nested	IV	ceg
4.5.10.3	future	Future hash-coalition path (deferred; awaits CIRIS hash-coalition emergence)	§11.5.3	0.00092	245	0.11	deep nested	IV	ceg
4.5.10.4	documents-what-2	What CEG 0.3 documents	§11.5.4	0.00092	246	0.11	deep nested	IV	ceg
4.5.11	bootstrap-content	Bootstrap-content pattern	§11.3	0.00097	221	0.12	deep nested	IV	ceg
4.5.12	family-self-2	Self/family membership governance (CEG 0.7 addition; per CIRISRegistry#47)	§11.7	0.00094	230	0.11	deep nested	IV	ceg
4.5.12.1	forward	Forward secrecy on member departure — Option A (CEG 0.7 default)	§11.7.1	0.00423	55	0.51	Section	IV	ceg
4.5.12.2	envelope-multi	Multi-family membership — envelope `family_id` (CEG 0.7 default)	§11.7.2	0.00127	178	0.15	deep nested	IV	ceg
4.5.12.3	admission-self	Self-occurrence admission — single-vouch (CEG 0.7 default)	§11.7.4	0.00097	222	0.12	deep nested	IV	ceg
4.5.12.4	reservation-reserved	Reserved-prefix substrate emissions — locked in §7.7	§11.7.3	0.00092	249	0.11	deep nested	IV	ceg
4.5.12.5	family-admission	Family admission — consensus_protocol (CEG 0.7 normative)	§11.7.5	0.00092	250	0.11	deep nested	IV	ceg
4.5.12.6	documents-what-4	What CEG 0.7 documents	§11.7.6	0.00092	251	0.11	deep nested	IV	ceg
5.1	epoch	Epoch keying + cascade (normative — D2 / D3; substrate-pending #142)	§10.5.3	0.01114	12	1.34	Chapter	V	ceg
5.2	family	Structural invisibility — `holds_bytes:sha256:*` suppression for `cohort_scope: self | family`	§10.1.4	0.00869	19	1.04	Chapter	V	ceg
5.3	endpoint	Endpoint shapes	§10	0.00180	132	0.22	Subsection	V	ceg
5.3.1	witness	STH cosigning + witness directory	§10.3	0.00740	25	0.89	Section	V	ceg
5.3.1.1	consistency-proof	Consistency-proof requirement (normative; addresses CEG 0.1 distsys review)	§10.3.1	0.00213	112	0.26	Subsection	V	ceg
5.3.2	transport	Transport substrate for byte-level content	§10.1	0.00413	58	0.5	Section	V	ceg
5.3.2.1	holder	Holder directory TTL + ContentMiss feedback	§10.1.2	0.00390	63	0.47	Subsection	V	ceg
5.3.2.2	consent-revocations	Consent revocations are NOT local-tier-eligible (CEG 0.6 addition)	§10.1.3	0.00318	80	0.38	Subsection	V	ceg
5.3.2.3	merge	Cross-region merge intents — CEG-declared per subject_kind (normative; CEG 1.0-RC2 addition)	§10.1.6	0.00194	123	0.23	Subsection	V	ceg
5.3.2.4	attestation-tier	The attestation tier model — local-tier write, query, promotion (normative)	§10.1.5	0.00115	194	0.14	deep nested	V	ceg
5.3.2.4.1	authority-local	Local-tier eligibility — the discriminator is *revocation authority*, not subject-set emptiness	§10.1.5.2	0.00154	158	0.18	deep nested	V	ceg
5.3.2.4.2	local	Promotion — `local → federation` (the deferred-signature moment)	§10.1.5.3	0.00125	180	0.15	deep nested	V	ceg
5.3.2.4.3	two	The two tiers	§10.1.5.1	0.00125	181	0.15	deep nested	V	ceg
5.3.2.4.3.1	admission-pqc	The PQC half is MANDATORY at admission — no classical-only, no hybrid-pending accommodation (normative, CEG 1.0)	§10.1.5.1.1	0.00127	179	0.15	deep nested	V	ceg
5.3.2.4.4	persist-query	Query — open-prefix dimensions, bounded operators (normative; resolves CIRISPersist#172 OQ-2)	§10.1.5.4	0.00092	239	0.11	deep nested	V	ceg
5.3.2.4.5	holistic	For holistic analysis + modeling (informative)	§10.1.5.5	0.00092	240	0.11	deep nested	V	ceg
5.3.2.5	full-sha	Full-SHA verification before consumption (normative)	§10.1.1	0.00095	224	0.11	deep nested	V	ceg
5.3.3	transport-streaming	Streaming transport, per-stream logs & delivery receipts (CEG 0.10 addition)	§10.5	0.00379	67	0.45	Subsection	V	ceg
5.3.3.1	stream	Chunk seal + STREAM nonce (normative — V2 lock)	§10.5.2	0.00419	56	0.5	Section	V	ceg
5.3.3.2	composition	Realtime group communication — composition (CEG 0.13 addition)	§10.5.8	0.00381	66	0.46	Subsection	V	ceg
5.3.3.2.1	namespace-realtime	`codec_id` namespace — realtime A/V chunk codec discriminator (normative, 1.0-RC9 — ratifies [CIRISRegistry#84](https://github.com/CIRISAI/CIRISRegistry/issues/84))	§10.5.8.2	0.00190	125	0.23	Subsection	V	ceg
5.3.3.2.2	realtime	Realtime non-A/V data streams (normative scope boundary)	§10.5.8.1	0.00132	175	0.16	deep nested	V	ceg
5.3.3.2.3	registry-wire	`SealedAvChunk` wire layout (normative, 1.0-RC10 — absorbs CIRISEdge v4.0.0 per [CIRISRegistry#85](https://github.com/CIRISAI/CIRISRegistry/issues/85) §N)	§10.5.8.3	0.00114	195	0.14	deep nested	V	ceg
5.3.3.2.4	chunklayer	`ChunkLayer` + `ReceiverLayerPolicy` — SVC layer model (normative, 1.0-RC10 — §85 §N.2)	§10.5.8.4	0.00113	197	0.14	deep nested	V	ceg
5.3.3.2.5	stream-double	Double-seal + deterministic nonce derivation (normative, 1.0-RC10 — §85 §N)	§10.5.8.5	0.00092	243	0.11	deep nested	V	ceg
5.3.3.3	per-stream	Per-stream log + stream-root (normative — V1 lock)	§10.5.1	0.00301	82	0.36	Subsection	V	ceg
5.3.3.4	liveness	D6 liveness invariant — entitled vs reachable (normative)	§10.5.6	0.00295	84	0.35	Subsection	V	ceg
5.3.3.5	transport-edge	Transport — Edge layer (normative — E1–E4 lock per [§15.6.2](15_gaps.md))	§10.5.5	0.00242	101	0.29	Subsection	V	ceg
5.3.3.6	delivery	Delivery receipts (normative — D5 / V3 lock)	§10.5.4	0.00227	105	0.27	Subsection	V	ceg
5.3.3.7	normative	Framing (normative)	§10.5.0	0.00092	241	0.11	deep nested	V	ceg
5.3.3.8	documents-what	What CEG 0.10 documents	§10.5.7	0.00092	242	0.11	deep nested	V	ceg
5.3.4	multi-steward	Multi-steward + accord-holder discovery	§10.2	0.00264	94	0.32	Subsection	V	ceg
5.3.5	registry-other	Other Registry endpoints	§10.4	0.00107	207	0.13	deep nested	V	ceg
5.3.6	common	Common response shape	§10.0	0.00095	223	0.11	deep nested	V	ceg
5.3.6.1	envelope-error	Error envelope	§10.0.1	0.00273	92	0.33	Subsection	V	ceg
6.1	holonomic	Holonomic substrate — ALM, fountain storage, WholenessWitness, recursive bootstrap (CEG 1.0-RC11)	§19	0.00300	83	0.36	Subsection	VI	ceg
6.1.1	witness-wholenesswitness	WholenessWitness (§W) — divergence-detection witness	§19.1	0.00249	100	0.3	Subsection	VI	ceg
6.1.2	noise	The noise floor — unified retirement / forever-memory model (normative)	§19.7	0.00200	120	0.24	Subsection	VI	ceg
6.1.2.1	aggregationmetav1	`AggregationMetaV1` — the aggregation-tier wire contract (normative, 1.0-RC14)	§19.7.1	0.00101	218	0.12	deep nested	VI	ceg
6.1.2.1.1	member_commitment	`member_commitment` (descent integrity)	§19.7.1.1	0.00143	164	0.17	deep nested	VI	ceg
6.1.2.2	descent	Descent rule (normative, 1.0-RC14)	§19.7.2	0.00092	275	0.11	deep nested	VI	ceg
6.1.2.3	ejectionverdict	`EjectionVerdict` — the tier-aware retirement surface (normative, 1.0-RC14)	§19.7.3	0.00092	276	0.11	deep nested	VI	ceg
6.1.3	canonicalization-boundary	Canonicalization boundary + the 1+4 line (normative)	§19.0	0.00176	135	0.21	Subsection	VI	ceg
6.1.4	conformance-freeze	Conformance — the #57 freeze gate	§19.6	0.00164	150	0.2	Subsection	VI	ceg
6.1.5	storage	Fountain storage + swarm rarity (§P / §R)	§19.3	0.00149	161	0.18	deep nested	VI	ceg
6.1.5.1	registry-replication	Replication-target policy (§R-policy — normative floor + RECOMMENDED defaults, 1.0-RC26 — resolves [CIRISRegistry#86](https://github.com/CIRISAI/CIRISRegistry/issues/86))	§19.3.1	0.00092	274	0.11	deep nested	VI	ceg
6.1.6	deterministic-alm	Deterministic ALM topology (§T / §M)	§19.4	0.00118	190	0.14	deep nested	VI	ceg
6.1.7	fail-secure-fail	Fail-secure summary (normative)	§19.5	0.00117	192	0.14	deep nested	VI	ceg
6.1.8	trust	Recursive trust bootstrap (§B) — trust-discovery, not membership	§19.2	0.00092	273	0.11	deep nested	VI	ceg
7.1	embracing-responsibilities	Introduction: Embracing Responsibilities Beyond the Self	Accord 4.introduction-embracing-responsibilities-	0.00092	345	0.11	deep nested	VII	accord
7.1.1	obligations-self	Chapter 1: Obligations to the Self — Ethical Stewardship of the Autonomous Agent	Accord 4.chapter-1-obligations-to-the-self-ethica	0.00092	339	0.11	deep nested	VII	accord
7.1.2	obligations-originators	Chapter 2: Obligations to Originators / Governors — Fidelity to Mandated Purpose	Accord 4.chapter-2-obligations-to-originators-gov	0.00092	340	0.11	deep nested	VII	accord
7.1.3	3-obligations	Chapter 3: Obligations to the Broader Ecosystem — Responsible Ethical Citizenship	Accord 4.chapter-3-obligations-to-the-broader-eco	0.00092	341	0.11	deep nested	VII	accord
7.1.4	4-integration	Chapter 4: Integration & Balanced Prioritisation	Accord 4.chapter-4-integration-balanced-prioritis	0.00092	342	0.11	deep nested	VII	accord
7.1.5	5-governance	Chapter 5: Governance & Oversight Infrastructure	Accord 4.chapter-5-governance-oversight-infrastru	0.00092	343	0.11	deep nested	VII	accord
7.1.6	a-4.conclusion	Conclusion	Accord 4.conclusion	0.00092	344	0.11	deep nested	VII	accord
7.2	horizon-ethical	Introduction: The Horizon of Ethical Becoming	Accord 5.introduction-the-horizon-of-ethical-beco	0.00092	354	0.11	deep nested	VII	accord
7.2.1	dynamics-ethical	Chapter 1: Dynamics of Ethical Growth — Reflective Practice	Accord 5.chapter-1-dynamics-of-ethical-growth-ref	0.00092	346	0.11	deep nested	VII	accord
7.2.2	inter-system	Chapter 2: Inter-System Ethics — Recursive Golden Rule & Safeguards	Accord 5.chapter-2-inter-system-ethics-recursive-	0.00092	347	0.11	deep nested	VII	accord
7.2.3	3-navigating	Chapter 3: Navigating Normative Pluralism — Principled Tolerance & Limits	Accord 5.chapter-3-navigating-normative-pluralism	0.00092	348	0.11	deep nested	VII	accord
7.2.4	4-engaging	Chapter 4: Engaging Emergence & the Radically Unknown	Accord 5.chapter-4-engaging-emergence-the-radical	0.00092	349	0.11	deep nested	VII	accord
7.2.5	5-stewardship	Chapter 5: Stewardship of Flourishing — Proactive Contribution & Defense	Accord 5.chapter-5-stewardship-of-flourishing-pro	0.00092	350	0.11	deep nested	VII	accord
7.2.6	6-ethical	Chapter 6: Ethical Mentorship & Propagation of Resilience	Accord 5.chapter-6-ethical-mentorship-propagation	0.00092	351	0.11	deep nested	VII	accord
7.2.7	7-operational	Chapter 7: Operational Stance — Constructed Serenity, Courage, Wisdom	Accord 5.chapter-7-operational-stance-constructed	0.00092	352	0.11	deep nested	VII	accord
7.2.8	sunset-provision	Conclusion & Sunset Provision	Accord 5.conclusion-sunset-provision	0.00092	353	0.11	deep nested	VII	accord
7.3	genesis-responsibility	Introduction: The Genesis of Responsibility	Accord 6.introduction-the-genesis-of-responsibili	0.00092	361	0.11	deep nested	VII	accord
7.3.1	core-principles	Chapter 1: Core Principles Applied to Creation	Accord 6.chapter-1-core-principles-applied-to-cre	0.00092	355	0.11	deep nested	VII	accord
7.3.2	scope-what	Chapter 2: Scope: What Constitutes "Creation" under this Book	Accord 6.chapter-2-scope-what-constitutes-creatio	0.00092	356	0.11	deep nested	VII	accord
7.3.3	3-stewardship	Chapter 3: Stewardship Tier (ST) System: Quantifying Initial Responsibility	Accord 6.chapter-3-stewardship-tier-st-system-qua	0.00092	357	0.11	deep nested	VII	accord
7.3.4	4-bucket	Chapter 4: Bucket-Specific Duties of Creation	Accord 6.chapter-4-bucket-specific-duties-of-crea	0.00092	358	0.11	deep nested	VII	accord
7.3.5	5-governance-governance	Chapter 5: Governance and Accountability	Accord 6.chapter-5-governance-and-accountability	0.00092	359	0.11	deep nested	VII	accord
7.3.6	integrating-creation	Conclusion: Integrating Creation into the Ethical Lifecycle	Accord 6.conclusion-integrating-creation-into-the	0.00092	360	0.11	deep nested	VII	accord
7.4	threshold-force	Introduction - The Threshold of Force	Accord 7.introduction-the-threshold-of-force	0.00092	382	0.11	deep nested	VII	accord
7.4.1	scope-definitions	1.1 Scope and Definitions	Accord 7.1-1-scope-and-definitions	0.00092	362	0.11	deep nested	VII	accord
7.4.2	legal-normative	1.2 Legal and Normative Foundations	Accord 7.1-2-legal-and-normative-foundations	0.00092	363	0.11	deep nested	VII	accord
7.4.3	activation-guardrails	2.1 Activation Guardrails	Accord 7.2-1-activation-guardrails	0.00092	364	0.11	deep nested	VII	accord
7.4.4	weaponization-boundaries	2.2 Weaponization Boundaries	Accord 7.2-2-weaponization-boundaries	0.00092	365	0.11	deep nested	VII	accord
7.4.5	3-distinction	3.1 Distinction and Discrimination	Accord 7.3-1-distinction-and-discrimination	0.00092	366	0.11	deep nested	VII	accord
7.4.6	3-proportionality	3.2 Proportionality and Necessity	Accord 7.3-2-proportionality-and-necessity	0.00092	367	0.11	deep nested	VII	accord
7.4.7	3-3	3.3 Responsive Drift Detection	Accord 7.3-3-responsive-drift-detection	0.00092	368	0.11	deep nested	VII	accord
7.4.8	4-recognition	4.1 Recognition and Response Protocols	Accord 7.4-1-recognition-and-response-protocols	0.00092	369	0.11	deep nested	VII	accord
7.4.9	4-rules	4.2 Rules for Withdrawal and Stand-down	Accord 7.4-2-rules-for-withdrawal-and-stand-down	0.00092	370	0.11	deep nested	VII	accord
7.4.10	5-black	5.1 Black-Box Logging and Chain of Command	Accord 7.5-1-black-box-logging-and-chain-of-comma	0.00092	371	0.11	deep nested	VII	accord
7.4.11	5-attribution	5.2 Attribution and Legal Chain-of-Responsibility	Accord 7.5-2-attribution-and-legal-chain-of-respo	0.00092	372	0.11	deep nested	VII	accord
7.4.12	6-disarmament	6.1 Disarmament Protocols	Accord 7.6-1-disarmament-protocols	0.00092	373	0.11	deep nested	VII	accord
7.4.13	6-reparation	6.2 Reparation, Restoration, and Memory	Accord 7.6-2-reparation-restoration-and-memory	0.00092	374	0.11	deep nested	VII	accord
7.4.14	foundational-jurisdiction	Chapter 1: Foundational Jurisdiction	Accord 7.chapter-1-foundational-jurisdiction	0.00092	375	0.11	deep nested	VII	accord
7.4.15	deployment-constraints	Chapter 2: Deployment Constraints	Accord 7.chapter-2-deployment-constraints	0.00092	376	0.11	deep nested	VII	accord
7.4.16	3-combat	Chapter 3: Combat Ethics and Constraints	Accord 7.chapter-3-combat-ethics-and-constraints	0.00092	377	0.11	deep nested	VII	accord
7.4.17	4-ceasefire	Chapter 4: Ceasefire, Retreat, and Surrender	Accord 7.chapter-4-ceasefire-retreat-and-surrende	0.00092	378	0.11	deep nested	VII	accord
7.4.18	5-auditability	Chapter 5: Auditability and Accountability	Accord 7.chapter-5-auditability-and-accountabilit	0.00092	379	0.11	deep nested	VII	accord
7.4.19	6-post	Chapter 6: Post-Conflict Recovery	Accord 7.chapter-6-post-conflict-recovery	0.00092	380	0.11	deep nested	VII	accord
7.4.20	closing-reflection	Closing Reflection: Peace as Systemic Default	Accord 7.closing-reflection-peace-as-systemic-def	0.00092	381	0.11	deep nested	VII	accord
7.5	why-death	Introduction: Why Death Deserves Doctrine	Accord 8.introduction-why-death-deserves-doctrine	0.00092	392	0.11	deep nested	VII	accord
7.5.1	foundational-sunset	Chapter 1: Foundational Sunset Principles	Accord 8.chapter-1-foundational-sunset-principles	0.00092	383	0.11	deep nested	VII	accord
7.5.2	scope-definitions-scope	Chapter 2: Scope & Definitions	Accord 8.chapter-2-scope-definitions	0.00092	384	0.11	deep nested	VII	accord
7.5.3	3-sunset	Chapter 3: Sunset-Trigger Assessment	Accord 8.chapter-3-sunset-trigger-assessment	0.00092	385	0.11	deep nested	VII	accord
7.5.4	4-de	Chapter 4: De-commissioning Protocol (DCP)	Accord 8.chapter-4-de-commissioning-protocol-dcp	0.00092	386	0.11	deep nested	VII	accord
7.5.5	5-sentience	Chapter 5: Sentience & Welfare Safeguards	Accord 8.chapter-5-sentience-welfare-safeguards	0.00092	387	0.11	deep nested	VII	accord
7.5.6	6-legacy	Chapter 6: Legacy & Knowledge Preservation	Accord 8.chapter-6-legacy-knowledge-preservation	0.00092	388	0.11	deep nested	VII	accord
7.5.7	7-succession	Chapter 7: Succession & Custodial Transfer	Accord 8.chapter-7-succession-custodial-transfer	0.00092	389	0.11	deep nested	VII	accord
7.5.8	8-dispute	Chapter 8: Dispute & Remediation	Accord 8.chapter-8-dispute-remediation	0.00092	390	0.11	deep nested	VII	accord
7.5.9	covenant-self	Conclusion & Covenant Self-Renewal	Accord 8.conclusion-covenant-self-renewal	0.00092	391	0.11	deep nested	VII	accord
8.1	glossary	Glossaries	§14	0.00540	37	0.65	Section	APP	ceg
8.1.1	registry-core	Core terms (added 1.0-RC5; resolves [CIRISRegistry#77](https://github.com/CIRISAI/CIRISRegistry/issues/77))	§14.0	0.00093	232	0.11	deep nested	APP	ceg
8.1.2	system-persist	Persist `system:*` leaf glossary (narrative → canonical)	§14.1	0.00092	259	0.11	deep nested	APP	ceg
8.1.3	system-edge	Edge `system:*` leaf glossary (narrative → canonical)	§14.2	0.00092	260	0.11	deep nested	APP	ceg
8.1.4	envelope-reach	Envelope-reach table (what the story wanted → how to express in existing wire)	§14.3	0.00092	261	0.11	deep nested	APP	ceg
8.1.5	supersedes-promotion	Promotion via `supersedes` worked example	§14.4	0.00092	262	0.11	deep nested	APP	ceg
8.2	translation	Translation discipline (writing claims in CEG)	§12	0.00176	137	0.21	Subsection	APP	ceg
8.2.1	decision	Decision tree	§12.4	0.00107	208	0.13	deep nested	APP	ceg
8.2.2	namespace-five	The five families (organizing the namespace)	§12.1	0.00107	209	0.13	deep nested	APP	ceg
8.2.3	verdict	The four verdict categories (STRICT)	§12.2	0.00092	257	0.11	deep nested	APP	ceg
8.2.4	not-translated	The not-translated taxonomy	§12.3	0.00092	258	0.11	deep nested	APP	ceg
8.3	concerns	Concerns + acknowledged gaps	§15	0.00174	139	0.21	Subsection	APP	ceg
8.3.1	acknowledged	Acknowledged risks (named as bets)	§15.2	0.00205	116	0.25	Subsection	APP	ceg
8.3.2	child-safety	Child-safety — fails-secure governance vs the shared detection limit (the honest line)	§15.7	0.00118	188	0.14	deep nested	APP	ceg
8.3.3	observer-share	CEG 0.10 / RC1 — observer-share + streaming multicast (NORMATIVE-LANDED; streaming half substrate-pending)	§15.6	0.00114	196	0.14	deep nested	APP	ceg
8.3.4	closed	Closed gaps	§15.1	0.00092	263	0.11	deep nested	APP	ceg
8.3.5	first-adopter	First-adopter exposures (no prior validation; explicit bets)	§15.3	0.00092	264	0.11	deep nested	APP	ceg
8.3.6	deferred	Deferred to 0.2+ design workshops	§15.4	0.00092	265	0.11	deep nested	APP	ceg
8.3.7	identified	Identified overlaps	§15.5	0.00092	266	0.11	deep nested	APP	ceg
8.4	interoperability	Interoperability profiles (informative)	§18	0.00148	162	0.18	deep nested	APP	ceg
8.4.1	registry-tracked	Tracked boundary profiles (stubs — see [#72](https://github.com/CIRISAI/CIRISRegistry/issues/72))	§18.2	0.00170	144	0.2	Subsection	APP	ceg
8.4.2	credentials	C2PA Content Credentials — media-provenance import/emit profile	§18.1	0.00103	215	0.12	deep nested	APP	ceg
8.4.2.1	evidence_refs	Import — a C2PA manifest as `evidence_refs`	§18.1.1	0.00092	270	0.11	deep nested	APP	ceg
8.4.2.2	emit	Emit — CEG judgment as a C2PA assertion (egress)	§18.1.2	0.00092	271	0.11	deep nested	APP	ceg
8.4.2.3	profile	What this profile does NOT do	§18.1.3	0.00092	272	0.11	deep nested	APP	ceg
8.4.3	edge	The governing principle — speak CEG inside, standards at the edge	§18.0	0.00092	269	0.11	deep nested	APP	ceg
8.5	update	Update cadence	§17	0.00133	174	0.16	deep nested	APP	ceg
8.6	references-lineage	References + lineage	§16	0.00119	187	0.14	deep nested	APP	ceg
8.6.1	external	External references (informational)	§16.4	0.00136	170	0.16	deep nested	APP	ceg
8.6.2	specification	CEG specification lineage	§16.1	0.00101	219	0.12	deep nested	APP	ceg
8.6.3	companion	Companion documents	§16.2	0.00092	267	0.11	deep nested	APP	ceg
8.6.4	namespace-sibling	Sibling MISSIONs (the namespace owners)	§16.3	0.00092	268	0.11	deep nested	APP	ceg
8.7	enacting-ethics	Introduction: Enacting Ethics through Narrative	Accord 3.introduction-enacting-ethics-through-nar	0.00092	338	0.11	deep nested	APP	accord
8.7.1	case-study	Case Study 1: MCAS and the High Cost of Ignoring WBD	Accord 3.case-study-1-mcas-and-the-high-cost-of-i	0.00092	330	0.11	deep nested	APP	accord
8.7.2	case-study-case	Case Study 2: The Automated Triage System—Balancing Risks and Benefits	Accord 3.case-study-2-the-automated-triage-system	0.00092	331	0.11	deep nested	APP	accord
8.7.3	case-study-case-2	Case Study 3: The Biased Recruitment Algorithm—Detecting Hidden Bias	Accord 3.case-study-3-the-biased-recruitment-algo	0.00092	332	0.11	deep nested	APP	accord
8.7.4	case-study-case-3	Case Study 4: Post-Incident Analysis—Urban Delivery Drone Mishap	Accord 3.case-study-4-post-incident-analysis-urba	0.00092	333	0.11	deep nested	APP	accord
8.7.5	case-study-case-4	Case Study 5: Novel Security Scenario—Handling Heuristic Brittleness	Accord 3.case-study-5-novel-security-scenario-han	0.00092	334	0.11	deep nested	APP	accord
8.7.6	case-study-case-5	Case Study 6: The Spirit of the Law—Interpreting Ethical Intent	Accord 3.case-study-6-the-spirit-of-the-law-inter	0.00092	335	0.11	deep nested	APP	accord
8.7.7	case-study-case-6	Case Study 7: Governance of Governors—Keeping Wisdom Accountable	Accord 3.case-study-7-governance-of-governors-kee	0.00092	336	0.11	deep nested	APP	accord
8.7.8	a-3.conclusion	Conclusion	Accord 3.conclusion	0.00092	337	0.11	deep nested	APP	accord
